Zip Codes ,City,Number of Households
76123,Fort Worth,74
76133,Fort Worth,52
76036,Crowley,42
76116,Fort Worth,22
76132,Fort Worth,21
76126,Benbrook,20
76028,Burleson,19
76134,Fort Worth,18
76108,Fort Worth,15
76126,Fort Worth,13
76109,Fort Worth,13
76087,Hudson Oaks,9
76114,Fort Worth,8
76131,Fort Worth,8
76110,Fort Worth,7
76044,Godley,7
76119,Forest Hill,6
76107,Fort Worth,6
76106,Fort Worth,5
76108,Fort Worth,5
76244,Fort Worth,5
76008,Aledo,4
76111,Fort Worth,4
76115,Fort Worth,4
76104,Fort Worth,4
76017,Arlington,3
76040,Euless,3
76104,Fort Worth,3
76140,Fort Worth,3
76135,Fort Worth,3
76105,Fort Worth,3
76117,Haltom City,3
76180,North Richland Hills,3
76114,River Oaks,3
76002,Arlington,2
76227,Aubrey,2
76033,Cleburne,2
76102,Fort Worth,2
76112,Fort Worth,2
76103,Fort Worth,2
76179,Fort Worth,2
76112,Fort Worth,2
76137,Fort Worth,2
76244,Fort Worth,2
76164,Fort Worth,2
76102,Fort Worth,2
76049,Granbury,2
75052,Grand Prairie,2
75060,Irving,2
76058,Joshua,2
76063,Mansfield,2
76118,North Richland Hills,2
76086,Weatherford,2
75001,Addison,1
76226,Argyle,1
76012,Arlington,1
76011,Arlington,1
76001,Arlington,1
76018,Arlington,1
76021,Bedford,1
76022,Bedford,1
76034,Colleyville,1
75211,Dallas,1
75116,Duncanville,1
76177,Fort Worth,1
76147,Fort Worth,1
76179,Fort Worth,1
76048,Granbury,1
76038,Granbury,1
76051,Grapevine,1
76148,Haltom City,1
76137,Haltom City,1
76052,Haslet,1
75765,Hawkins,1
76054,Hurst,1
76248,Keller,1
74942,Leflore,1
76065,Midlothian,1
76671,Morgan,1
75068,Oak Point,1
79763,Odessa,1
76179,Saginaw,1
76901,San Angelo,1
75972,San Augustine,1
76084,Venus,1
76148,Watauga,1
76137,Watauga,1
